Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,ID
426,Bennie Fowler,NOR,29,wr,5,0,1.20,0.40,33.3%,2.20,5.5,0.00,0.20,7,1.8,0.4,2.2,0.00,FowlBe00
427,Reggie Gilliam,BUF,23,fb,14,0,0.14,0.14,100.0%,1.14,8.0,0.07,0.14,15,8.0,0.1,1.1,0.00,GillRe00
428,Andy Janovich,CLE,27,rb,14,3,0.36,0.14,40.0%,0.93,6.5,0.00,0.07,13,2.6,0.1,0.9,0.00,JanoAn00
429,Lamar Miller,CHI,29,rb,1,0,2.00,2.00,100.0%,6.00,3.0,0.00,1.00,7,3.0,2.0,6.0,0.00,MillLa01
430,Cam Newton,NWE,31,QB,15,15,0.13,0.13,100.0%,2.33,17.5,0.07,0.13,19,17.5,0.1,2.3,0.40,NewtCa00
431,Colby Parkinson,SEA,21,te,6,0,0.33,0.33,100.0%,2.67,8.0,0.00,0.33,10,8.0,0.3,2.7,0.00,ParkCo02
432,Elijhaa Penny,NYG,27,rb,14,0,0.21,0.14,66.7%,1.43,10.0,0.00,0.07,11,6.7,0.1,1.4,0.00,PennEl00
433,John Ross,CIN,25,wr,3,1,2.33,0.67,28.6%,5.67,8.5,0.00,0.33,15,2.4,0.7,5.7,0.00,RossJo00
434,Isaiah Zuber,NWE,23,wr,4,0,0.50,0.50,100.0%,7.25,14.5,0.00,0.25,16,14.5,0.5,7.3,0.00,ZubeIs00
435,Josh Allen*,BUF,24,QB,16,16,0.06,0.06,100.0%,0.75,12.0,0.06,0.06,12,12.0,0.1,0.8,0.56,AlleJo02
436,Marcus Baugh,WAS,26,te,8,1,0.13,0.13,100.0%,0.25,2.0,0.00,0.00,2,2.0,0.1,0.3,0.00,BaugMa02
437,LeVante Bellamy,DEN,24,rb,5,0,0.20,0.20,100.0%,1.00,5.0,0.00,0.00,5,5.0,0.2,1.0,0.00,BellLe02
438,Nick Bellore*,SEA,31,lb,16,0,0.06,0.06,100.0%,0.56,9.0,0.00,0.06,9,9.0,0.1,0.6,0.00,BellNi01
439,Hunter Bryant,DET,22,te,5,0,0.60,0.20,33.3%,8.80,44.0,0.00,0.20,44,14.7,0.2,8.8,0.00,BryaHu02
440,Stephen Carlson,CLE,24,te,16,2,0.13,0.06,50.0%,0.69,11.0,0.00,0.06,11,5.5,0.1,0.7,0.00,CarlSt00
441,Derek Carrier,LVR,30,te,16,0,0.06,0.06,100.0%,0.88,14.0,0.00,0.06,14,14.0,0.1,0.9,0.00,CarrDe00
442,DeAndre Carter,2TM,27,,13,0,0.15,0.08,50.0%,0.62,8.0,0.00,0.00,8,4.0,0.1,0.6,0.15,CartDe02
443,Alex Collins,SEA,26,rb,3,1,0.67,0.33,50.0%,1.33,4.0,0.00,0.00,4,2.0,0.3,1.3,0.00,CollAl00
444,Jason Croom,PHI,26,te,4,0,0.25,0.25,100.0%,0.75,3.0,0.25,0.25,3,3.0,0.3,0.8,0.00,CrooJa00
445,Andy Dalton,DAL,33,QB,11,9,0.09,0.09,100.0%,-0.27,-3.0,0.00,0.00,-3,-3.0,0.1,-0.3,0.18,DaltAn00
446,Josiah Deguara,GNB,23,te,2,1,1.00,0.50,50.0%,6.00,12.0,0.00,0.50,12,6.0,0.5,6.0,0.00,DeguJo00
447,Gehrig Dieter,KAN,27,wr,4,0,0.50,0.25,50.0%,2.50,10.0,0.00,0.25,10,5.0,0.3,2.5,0.00,DietGe00
448,Brandon Dillon,MIN,23,te,3,0,0.33,0.33,100.0%,2.00,6.0,0.00,0.00,6,6.0,0.3,2.0,0.00,DillBr00
449,Ben Ellefson,JAX,24,te,7,4,0.57,0.14,25.0%,1.43,10.0,0.00,0.14,10,2.5,0.1,1.4,0.00,ElleBe00
450,Eric Fisher*,KAN,29,LT,15,15,0.07,0.07,100.0%,0.13,2.0,0.07,0.07,2,2.0,0.1,0.1,0.00,FishEr00
451,Ryan Fitzpatrick,MIA,38,qb,9,7,0.11,0.11,100.0%,0.00,0.0,0.00,0.00,0,0.0,0.1,0.0,0.22,FitzRy00
452,D'Onta Foreman,TEN,24,rb,6,0,0.17,0.17,100.0%,0.83,5.0,0.17,0.17,5,5.0,0.2,0.8,0.00,ForeDO00
453,D.J. Foster,ARI,27,wr,10,0,0.10,0.10,100.0%,0.70,7.0,0.00,0.10,7,7.0,0.1,0.7,0.00,FostD.01
